plant popularity data
Category: All categories,,,,,
,,,,,
Week,Devil's ivy,Calatheas,Dracaena trifasciata,Common ivy,String-of-pearls
2016-10-30,17,4,20,23,1
2016-11-06,18,5,15,31,2
2016-11-13,14,5,19,26,2
2016-11-20,16,3,15,25,1
2016-11-27,17,4,15,28,1
2016-12-04,16,4,15,28,2
2016-12-11,18,3,15,28,2
2016-12-18,14,3,12,26,1
2016-12-25,18,5,13,23,2
2017-01-01,23,5,19,26,2
2017-01-08,18,4,18,30,2
2017-01-15,23,5,18,32,1
2017-01-22,25,5,21,30,2
2017-01-29,22,5,16,31,3
2017-02-05,21,6,19,35,2
2017-02-12,21,6,19,36,2
2017-02-19,22,6,26,41,3
2017-02-26,26,7,23,45,3
2017-03-05,27,7,25,44,2
2017-03-12,25,7,20,53,3
2017-03-19,24,6,24,49,2
2017-03-26,23,5,21,52,2
2017-04-02,21,4,23,54,3
2017-04-09,26,5,22,54,3
2017-04-16,27,5,24,46,2
2017-04-23,25,5,21,57,4
2017-04-30,23,5,22,52,4
2017-05-07,21,6,23,53,4
2017-05-14,24,5,22,56,3
2017-05-21,23,5,22,52,3
2017-05-28,26,6,23,56,3
2017-06-04,26,4,20,51,3
2017-06-11,22,5,21,53,2
2017-06-18,22,5,21,48,3
2017-06-25,23,6,20,44,3
2017-07-02,28,7,18,41,3
2017-07-09,25,6,20,39,4
2017-07-16,22,6,22,41,3
2017-07-23,21,5,20,37,2
2017-07-30,22,5,22,40,2
2017-08-06,24,6,23,43,4
2017-08-13,26,6,25,38,2
2017-08-20,22,6,24,41,3
2017-08-27,24,8,22,40,3
2017-09-03,22,5,23,48,3
2017-09-10,22,7,21,34,3
2017-09-17,21,7,20,40,3
2017-09-24,27,8,21,45,3
2017-10-01,25,7,22,37,3
2017-10-08,22,7,20,43,3
2017-10-15,20,8,23,45,3
2017-10-22,23,6,21,42,3
2017-10-29,21,6,21,37,2
2017-11-05,22,7,26,37,3
2017-11-12,26,6,24,38,2
2017-11-19,24,6,18,33,3
2017-11-26,23,7,22,32,2
2017-12-03,22,5,22,29,2
2017-12-10,19,4,19,32,2
2017-12-17,19,4,18,36,4
2017-12-24,24,5,18,29,2
2017-12-31,21,5,22,26,3
2018-01-07,22,5,25,37,4
2018-01-14,23,6,23,33,4
2018-01-21,25,8,23,39,3
2018-01-28,23,8,23,36,3
2018-02-04,24,7,23,38,5
2018-02-11,26,7,22,39,3
2018-02-18,28,7,27,39,4
2018-02-25,23,8,25,39,4
2018-03-04,27,9,25,41,4
2018-03-11,25,8,28,45,4
2018-03-18,25,8,28,46,3
2018-03-25,24,7,26,52,4
2018-04-01,29,9,30,53,4
2018-04-08,29,8,27,56,4
2018-04-15,28,9,31,63,4
2018-04-22,29,9,29,67,3
2018-04-29,30,10,33,58,6
2018-05-06,28,8,34,62,5
2018-05-13,26,9,31,54,4
2018-05-20,31,8,26,63,4
2018-05-27,24,8,30,55,3
2018-06-03,29,8,28,53,4
2018-06-10,28,8,26,53,5
2018-06-17,30,8,22,54,5
2018-06-24,30,8,29,47,4
2018-07-01,28,6,28,45,4
2018-07-08,34,7,24,43,4
2018-07-15,29,11,33,43,5
2018-07-22,37,8,40,43,3
2018-07-29,34,9,36,37,4
2018-08-05,34,10,37,42,4
2018-08-12,36,9,32,40,3
2018-08-19,32,11,32,43,5
2018-08-26,32,10,30,45,4
2018-09-02,34,8,35,43,4
2018-09-09,33,9,35,43,5
2018-09-16,32,11,28,45,4
2018-09-23,33,10,33,42,4
2018-09-30,37,10,32,43,3
2018-10-07,34,10,28,41,3
2018-10-14,29,10,30,44,4
